"order id","order date","ship date","ship mode","customer id",segment,state,city,region,category,sub-category,sales,Quantity,Discount,Profit,order_year,order_month,days_difference,profit_status
CA-2016-152156,08/11/2016,11/11/2016,"Second Class",CG-12520,Consumer,Kentucky,Henderson,South,Furniture,Bookcases,261.96,2,0,41.9136,2016,2016-11,3,Profit
CA-2016-152156,08/11/2016,11/11/2016,"Second Class",CG-12520,Consumer,Kentucky,Henderson,South,Furniture,Chairs,731.94,3,0,219.582,2016,2016-11,3,Profit
CA-2016-138688,12/06/2016,16/06/2016,"Second Class",DV-13045,Corporate,California,"Los Angeles",West,"Office Supplies",Labels,14.62,2,0,6.8714,2016,2016-06,4,Profit
US-2015-108966,11/10/2015,18/10/2015,"Standard Class",SO-20335,Consumer,Florida,"Fort Lauderdale",South,Furniture,Tables,957.5775,5,0.45,-383.031,2015,2015-10,7,Loss
US-2015-108966,11/10/2015,18/10/2015,"Standard Class",SO-20335,Consumer,Florida,"Fort Lauderdale",South,"Office Supplies",Storage,22.368,2,0.2,2.5164,2015,2015-10,7,Profit
CA-2014-115812,09/06/2014,14/06/2014,"Standard Class",BH-11710,Consumer,California,"Los Angeles",West,Furniture,Furnishings,48.86,7,0,14.1694,2014,2014-06,5,Profit
CA-2014-115812,09/06/2014,14/06/2014,"Standard Class",BH-11710,Consumer,California,"Los Angeles",West,"Office Supplies",Art,7.28,4,0,1.9656,2014,2014-06,5,Profit
CA-2014-115812,09/06/2014,14/06/2014,"Standard Class",BH-11710,Consumer,California,"Los Angeles",West,Technology,Phones,907.152,6,0.2,90.7152,2014,2014-06,5,Profit
CA-2014-115812,09/06/2014,14/06/2014,"Standard Class",BH-11710,Consumer,California,"Los Angeles",West,"Office Supplies",Binders,18.504,3,0.2,5.7825,2014,2014-06,5,Profit
CA-2014-115812,09/06/2014,14/06/2014,"Standard Class",BH-11710,Consumer,California,"Los Angeles",West,"Office Supplies",Appliances,114.9,5,0,34.47,2014,2014-06,5,Profit
CA-2014-115812,09/06/2014,14/06/2014,"Standard Class",BH-11710,Consumer,California,"Los Angeles",West,Furniture,Tables,1706.184,9,0.2,85.3092,2014,2014-06,5,Profit
CA-2014-115812,09/06/2014,14/06/2014,"Standard Class",BH-11710,Consumer,California,"Los Angeles",West,Technology,Phones,911.424,4,0.2,68.3568,2014,2014-06,5,Profit
CA-2017-114412,15/04/2017,20/04/2017,"Standard Class",AA-10480,Consumer,"North Carolina",Concord,South,"Office Supplies",Paper,15.552,3,0.2,5.4432,2017,2017-04,5,Profit
CA-2016-161389,05/12/2016,10/12/2016,"Standard Class",IM-15070,Consumer,Washington,Seattle,West,"Office Supplies",Binders,407.976,3,0.2,132.5922,2016,2016-12,5,Profit
US-2015-118983,22/11/2015,26/11/2015,"Standard Class",HP-14815,"Home Office",Texas,"Fort Worth",Central,"Office Supplies",Appliances,68.81,5,0.8,-123.858,2015,2015-11,4,Loss
US-2015-118983,22/11/2015,26/11/2015,"Standard Class",HP-14815,"Home Office",Texas,"Fort Worth",Central,"Office Supplies",Binders,2.544,3,0.8,-3.816,2015,2015-11,4,Loss
CA-2014-105893,11/11/2014,18/11/2014,"Standard Class",PK-19075,Consumer,Wisconsin,Madison,Central,"Office Supplies",Storage,665.88,6,0,13.3176,2014,2014-11,7,Profit
CA-2014-167164,13/05/2014,15/05/2014,"Second Class",AG-10270,Consumer,Utah,"West Jordan",West,"Office Supplies",Storage,55.5,2,0,9.99,2014,2014-05,2,Profit
CA-2014-143336,27/08/2014,01/09/2014,"Second Class",ZD-21925,Consumer,California,"San Francisco",West,"Office Supplies",Art,8.56,2,0,2.4824,2014,2014-08,5,Profit
CA-2014-143336,27/08/2014,01/09/2014,"Second Class",ZD-21925,Consumer,California,"San Francisco",West,Technology,Phones,213.48,3,0.2,16.011,2014,2014-08,5,Profit
CA-2014-143336,27/08/2014,01/09/2014,"Second Class",ZD-21925,Consumer,California,"San Francisco",West,"Office Supplies",Binders,22.72,4,0.2,7.384,2014,2014-08,5,Profit
CA-2016-137330,09/12/2016,13/12/2016,"Standard Class",KB-16585,Corporate,Nebraska,Fremont,Central,"Office Supplies",Art,19.46,7,0,5.0596,2016,2016-12,4,Profit
CA-2016-137330,09/12/2016,13/12/2016,"Standard Class",KB-16585,Corporate,Nebraska,Fremont,Central,"Office Supplies",Appliances,60.34,7,0,15.6884,2016,2016-12,4,Profit
US-2017-156909,16/07/2017,18/07/2017,"Second Class",SF-20065,Consumer,Pennsylvania,Philadelphia,East,Furniture,Chairs,71.372,2,0.3,-1.0196,2017,2017-07,2,Loss
CA-2015-106320,25/09/2015,30/09/2015,"Standard Class",EB-13870,Consumer,Utah,Orem,West,Furniture,Tables,1044.63,3,0,240.2649,2015,2015-09,5,Profit
CA-2016-121755,16/01/2016,20/01/2016,"Second Class",EH-13945,Consumer,California,"Los Angeles",West,"Office Supplies",Binders,11.648,2,0.2,4.2224,2016,2016-01,4,Profit
CA-2016-121755,16/01/2016,20/01/2016,"Second Class",EH-13945,Consumer,California,"Los Angeles",West,Technology,Accessories,90.57,3,0,11.7741,2016,2016-01,4,Profit
US-2015-150630,17/09/2015,21/09/2015,"Standard Class",TB-21520,Consumer,Pennsylvania,Philadelphia,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,2015,2015-09,4,Loss
US-2015-150630,17/09/2015,21/09/2015,"Standard Class",TB-21520,Consumer,Pennsylvania,Philadelphia,East,"Office Supplies",Binders,9.618,2,0.7,-7.0532,2015,2015-09,4,Loss
US-2015-150630,17/09/2015,21/09/2015,"Standard Class",TB-21520,Consumer,Pennsylvania,Philadelphia,East,Furniture,Furnishings,124.2,3,0.2,15.525,2015,2015-09,4,Profit
US-2015-150630,17/09/2015,21/09/2015,"Standard Class",TB-21520,Consumer,Pennsylvania,Philadelphia,East,"Office Supplies",Envelopes,3.264,2,0.2,1.1016,2015,2015-09,4,Profit
US-2015-150630,17/09/2015,21/09/2015,"Standard Class",TB-21520,Consumer,Pennsylvania,Philadelphia,East,"Office Supplies",Art,86.304,6,0.2,9.7092,2015,2015-09,4,Profit
US-2015-150630,17/09/2015,21/09/2015,"Standard Class",TB-21520,Consumer,Pennsylvania,Philadelphia,East,"Office Supplies",Art,15.76,2,0.2,3.546,2015,2015-09,4,Profit
CA-2017-107727,19/10/2017,23/10/2017,"Second Class",MA-17560,"Home Office",Texas,Houston,Central,"Office Supplies",Paper,29.472,3,0.2,9.9468,2017,2017-10,4,Profit
CA-2016-117590,08/12/2016,10/12/2016,"First Class",GH-14485,Corporate,Texas,Richardson,Central,Technology,Phones,1097.544,7,0.2,123.4737,2016,2016-12,2,Profit
CA-2016-117590,08/12/2016,10/12/2016,"First Class",GH-14485,Corporate,Texas,Richardson,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,2016,2016-12,2,Loss
CA-2015-117415,27/12/2015,31/12/2015,"Standard Class",SN-20710,"Home Office",Texas,Houston,Central,"Office Supplies",Envelopes,113.328,9,0.2,35.415,2015,2015-12,4,Profit
CA-2015-117415,27/12/2015,31/12/2015,"Standard Class",SN-20710,"Home Office",Texas,Houston,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,2015,2015-12,4,Loss
CA-2015-117415,27/12/2015,31/12/2015,"Standard Class",SN-20710,"Home Office",Texas,Houston,Central,Furniture,Chairs,212.058,3,0.3,-15.147,2015,2015-12,4,Loss
CA-2015-117415,27/12/2015,31/12/2015,"Standard Class",SN-20710,"Home Office",Texas,Houston,Central,Technology,Phones,371.168,4,0.2,41.7564,2015,2015-12,4,Profit
CA-2017-120999,10/09/2017,15/09/2017,"Standard Class",LC-16930,Corporate,Illinois,Naperville,Central,Technology,Phones,147.168,4,0.2,16.5564,2017,2017-09,5,Profit
CA-2016-101343,17/07/2016,22/07/2016,"Standard Class",RA-19885,Corporate,California,"Los Angeles",West,"Office Supplies",Storage,77.88,2,0,3.894,2016,2016-07,5,Profit
CA-2017-139619,19/09/2017,23/09/2017,"Standard Class",ES-14080,Corporate,Florida,Melbourne,South,"Office Supplies",Storage,95.616,2,0.2,9.5616,2017,2017-09,4,Profit
CA-2016-118255,11/03/2016,13/03/2016,"First Class",ON-18715,Corporate,Minnesota,Eagan,Central,Technology,Accessories,45.98,2,0,19.7714,2016,2016-03,2,Profit
CA-2016-118255,11/03/2016,13/03/2016,"First Class",ON-18715,Corporate,Minnesota,Eagan,Central,"Office Supplies",Binders,17.46,2,0,8.2062,2016,2016-03,2,Profit
CA-2014-146703,20/10/2014,25/10/2014,"Second Class",PO-18865,Consumer,Michigan,Westland,Central,"Office Supplies",Storage,211.96,4,0,8.4784,2014,2014-10,5,Profit
CA-2016-169194,20/06/2016,25/06/2016,"Standard Class",LH-16900,Consumer,Delaware,Dover,East,Technology,Accessories,45,3,0,4.95,2016,2016-06,5,Profit
CA-2016-169194,20/06/2016,25/06/2016,"Standard Class",LH-16900,Consumer,Delaware,Dover,East,Technology,Phones,21.8,2,0,6.104,2016,2016-06,5,Profit
CA-2015-115742,18/04/2015,22/04/2015,"Standard Class",DP-13000,Consumer,Indiana,"New Albany",Central,"Office Supplies",Binders,38.22,6,0,17.9634,2015,2015-04,4,Profit
CA-2015-115742,18/04/2015,22/04/2015,"Standard Class",DP-13000,Consumer,Indiana,"New Albany",Central,"Office Supplies",Labels,75.18,6,0,35.3346,2015,2015-04,4,Profit
CA-2015-115742,18/04/2015,22/04/2015,"Standard Class",DP-13000,Consumer,Indiana,"New Albany",Central,Furniture,Furnishings,6.16,2,0,2.9568,2015,2015-04,4,Profit
CA-2015-115742,18/04/2015,22/04/2015,"Standard Class",DP-13000,Consumer,Indiana,"New Albany",Central,Furniture,Chairs,89.99,1,0,17.0981,2015,2015-04,4,Profit
CA-2016-105816,11/12/2016,17/12/2016,"Standard Class",JM-15265,Corporate,"New York","New York City",East,"Office Supplies",Fasteners,15.26,7,0,6.2566,2016,2016-12,6,Profit
CA-2016-105816,11/12/2016,17/12/2016,"Standard Class",JM-15265,Corporate,"New York","New York City",East,Technology,Phones,1029.95,5,0,298.6855,2016,2016-12,6,Profit
CA-2016-111682,17/06/2016,18/06/2016,"First Class",TB-21055,Consumer,"New York",Troy,East,"Office Supplies",Storage,208.56,6,0,52.14,2016,2016-06,1,Profit
CA-2016-111682,17/06/2016,18/06/2016,"First Class",TB-21055,Consumer,"New York",Troy,East,"Office Supplies",Paper,32.4,5,0,15.552,2016,2016-06,1,Profit
CA-2016-111682,17/06/2016,18/06/2016,"First Class",TB-21055,Consumer,"New York",Troy,East,Furniture,Chairs,319.41,5,0.1,7.098,2016,2016-06,1,Profit
CA-2016-111682,17/06/2016,18/06/2016,"First Class",TB-21055,Consumer,"New York",Troy,East,"Office Supplies",Paper,14.56,2,0,6.9888,2016,2016-06,1,Profit
CA-2016-111682,17/06/2016,18/06/2016,"First Class",TB-21055,Consumer,"New York",Troy,East,Technology,Accessories,30,2,0,3.3,2016,2016-06,1,Profit
CA-2016-111682,17/06/2016,18/06/2016,"First Class",TB-21055,Consumer,"New York",Troy,East,"Office Supplies",Binders,48.48,4,0.2,16.362,2016,2016-06,1,Profit
CA-2016-111682,17/06/2016,18/06/2016,"First Class",TB-21055,Consumer,"New York",Troy,East,"Office Supplies",Art,1.68,1,0,0.84,2016,2016-06,1,Profit
CA-2015-135545,24/11/2015,30/11/2015,"Standard Class",KM-16720,Consumer,California,"Los Angeles",West,Technology,Accessories,13.98,2,0,6.1512,2015,2015-11,6,Profit
CA-2015-135545,24/11/2015,30/11/2015,"Standard Class",KM-16720,Consumer,California,"Los Angeles",West,"Office Supplies",Binders,25.824,6,0.2,9.3612,2015,2015-11,6,Profit
CA-2015-135545,24/11/2015,30/11/2015,"Standard Class",KM-16720,Consumer,California,"Los Angeles",West,"Office Supplies",Paper,146.73,3,0,68.9631,2015,2015-11,6,Profit
CA-2015-135545,24/11/2015,30/11/2015,"Standard Class",KM-16720,Consumer,California,"Los Angeles",West,Furniture,Furnishings,79.76,4,0,22.3328,2015,2015-11,6,Profit
US-2015-164175,30/04/2015,05/05/2015,"Standard Class",PS-18970,"Home Office",Illinois,Chicago,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,2015,2015-04,5,Loss
CA-2014-106376,05/12/2014,10/12/2014,"Standard Class",BS-11590,Corporate,Arizona,Gilbert,West,"Office Supplies",Art,1113.024,8,0.2,111.3024,2014,2014-12,5,Profit
CA-2014-106376,05/12/2014,10/12/2014,"Standard Class",BS-11590,Corporate,Arizona,Gilbert,West,Technology,Phones,167.968,4,0.2,62.988,2014,2014-12,5,Profit
CA-2016-119823,04/06/2016,06/06/2016,"First Class",KD-16270,Consumer,Virginia,Springfield,South,"Office Supplies",Paper,75.88,2,0,35.6636,2016,2016-06,2,Profit
CA-2016-106075,18/09/2016,23/09/2016,"Standard Class",HM-14980,Consumer,"New York","New York City",East,"Office Supplies",Binders,4.616,1,0.2,1.731,2016,2016-09,5,Profit
