"order id","order date","ship date","ship mode","customer Id",segment,country,state,"product id",category,sub-category,Revenue,discount,quantity,profit
CA-2016-152156,08/11/2016,11/11/2016,"Second Class",CG-12520,Consumer,"United States",Kentucky,FUR-BO-10001798,Furniture,Bookcases,261.96,0,2,41.9136
CA-2016-152156,08/11/2016,11/11/2016,"Second Class",CG-12520,Consumer,"United States",Kentucky,FUR-CH-10000454,Furniture,Chairs,731.94,0,3,219.582
CA-2016-138688,12/06/2016,16/06/2016,"Second Class",DV-13045,Corporate,"United States",California,OFF-LA-10000240,"Office Supplies",Labels,14.62,0,2,6.8714
US-2015-108966,11/10/2015,18/10/2015,"Standard Class",SO-20335,Consumer,"United States",Florida,FUR-TA-10000577,Furniture,Tables,957.5775,0.45,5,-383.031
US-2015-108966,11/10/2015,18/10/2015,"Standard Class",SO-20335,Consumer,"United States",Florida,OFF-ST-10000760,"Office Supplies",Storage,22.368,0.2,2,2.5164
CA-2014-115812,09/06/2014,14/06/2014,"Standard Class",BH-11710,Consumer,"United States",California,FUR-FU-10001487,Furniture,Furnishings,48.86,0,7,14.1694
CA-2014-115812,09/06/2014,14/06/2014,"Standard Class",BH-11710,Consumer,"United States",California,OFF-AR-10002833,"Office Supplies",Art,7.28,0,4,1.9656
CA-2014-115812,09/06/2014,14/06/2014,"Standard Class",BH-11710,Consumer,"United States",California,TEC-PH-10002275,Technology,Phones,907.152,0.2,6,90.7152
CA-2014-115812,09/06/2014,14/06/2014,"Standard Class",BH-11710,Consumer,"United States",California,OFF-BI-10003910,"Office Supplies",Binders,18.504,0.2,3,5.7825
CA-2014-115812,09/06/2014,14/06/2014,"Standard Class",BH-11710,Consumer,"United States",California,OFF-AP-10002892,"Office Supplies",Appliances,114.9,0,5,34.47
CA-2014-115812,09/06/2014,14/06/2014,"Standard Class",BH-11710,Consumer,"United States",California,FUR-TA-10001539,Furniture,Tables,1706.184,0.2,9,85.3092
CA-2014-115812,09/06/2014,14/06/2014,"Standard Class",BH-11710,Consumer,"United States",California,TEC-PH-10002033,Technology,Phones,911.424,0.2,4,68.3568
CA-2017-114412,15/04/2017,20/04/2017,"Standard Class",AA-10480,Consumer,"United States","North Carolina",OFF-PA-10002365,"Office Supplies",Paper,15.552,0.2,3,5.4432
CA-2016-161389,05/12/2016,10/12/2016,"Standard Class",IM-15070,Consumer,"United States",Washington,OFF-BI-10003656,"Office Supplies",Binders,407.976,0.2,3,132.5922
